ID;EAN;ItemGroup;Supplier;Price;Pieces;Colour
10086;19656910078160;desserts;Sed Neque Associates;897.18;8;blue
10087;70738748103659;pasta;Egestas Duis Ac Limited;160.41;49;orange
10088;72110748739993;sandwiches;Pellentesque Ultricies Dignissim Company;638.86;6;red
10089;77139371774902;sandwiches;Tincidunt Company;856.12;40;yellow
10090;84232688314315;cereals;Lorem Luctus Industries;367.87;15;yellow
10091;74520079220503;seafood;Est Mauris Eu PC;884.88;91;blue
10092;40200150366924;cereals;Magnis Foundation;869.71;98;orange
10093;33937169710332;pasta;Sem Eget LLP;679.22;60;green
10094;92108878916618;cereals;Sem Associates;992.50;71;violet
10095;40172394916030;soups;Libero Morbi Accumsan PC;813.55;87;violet
10096;80529489830004;noodles;Aliquet Lobortis Nisi PC;271.38;86;indigo
10097;52092242775082;pies;Risus Duis A Company;286.86;12;green
10098;59716770815396;pasta;Felis Ullamcorper Incorporated;216.28;75;indigo
10099;79843741555386;salads;Nunc Laoreet LLP;39.45;59;orange
10100;20555203295479;pasta;Libero Est Congue Ltd;52.05;97;indigo
10101;51986973509984;seafood;Fusce Aliquet LLP;42.51;16;violet
10102;38631368876242;soups;In Consequat Ltd;963.81;12;red
10103;80363564066946;pies;Sodales LLC;358.26;21;indigo
10104;24881280174998;soups;Congue Elit Sed Foundation;75.81;56;indigo
10105;94054447005680;soups;Augue Limited;440.05;42;violet
10106;65614617997666;cereals;Erat Neque Industries;681.04;59;blue
10107;36791666288619;pasta;Aliquet Metus Urna Associates;101.71;90;yellow
10108;72022500880759;pies;Pharetra Quisque Ac Corporation;669.72;92;blue
10109;19218165271098;desserts;Dui Augue Corporation;939.12;52;orange
10110;46332001497453;seafood;Lobortis Ltd;27.90;1;orange
10111;57321214602116;salads;Nulla Cras Eu Inc.;880.03;13;yellow
10112;54680022166307;pasta;Ut Nec PC;645.41;28;indigo
10113;98783444100807;pasta;Gravida Aliquam Ltd;343.03;36;blue
10114;42614846032690;cereals;Volutpat Associates;72.45;22;violet
10115;49579117239769;salads;Mauris Corp.;20.12;69;yellow
10116;18880728068835;pasta;Urna Convallis Corporation;726.70;73;yellow
10117;38992683537930;seafood;Nullam Scelerisque Neque Inc.;251.95;11;red
10118;71755415384085;seafood;Sed Nunc Incorporated;712.68;28;green
10119;80733189858821;salads;Fermentum Metus Industries;844.77;34;red
10120;50735179550850;seafood;At Auctor Ltd;858.48;67;green
10121;52402147822213;seafood;Massa Rutrum LLC;474.00;93;orange
10122;40519267149497;cereals;Suscipit Est Consulting;234.12;83;orange
10123;11816225932379;salads;Ut Sagittis Consulting;232.20;27;green
10124;74181849585774;cereals;Fermentum Fermentum LLP;583.57;85;green
10125;58910606033360;noodles;Elementum Sem Vitae Ltd;880.95;49;yellow
10126;74202055203776;sandwiches;Aliquam Gravida Mauris Institute;127.83;5;yellow
10127;97291046856484;noodles;Dignissim Maecenas Ornare Ltd;884.56;59;violet
10128;70163061916425;salads;Vitae Odio Sagittis Foundation;655.77;69;indigo
10129;47499926092341;sandwiches;Vitae Associates;97.22;44;violet
10130;67370988710765;seafood;Augue LLP;628.91;10;indigo
10131;92948304837172;seafood;Est Associates;717.19;57;orange
10132;13129166379438;soups;Gravida Non LLC;460.19;9;red
10133;90518508822862;stews;Luctus Aliquet Institute;782.35;56;red
10134;83316581027320;pies;Mauris Nulla Ltd;613.79;64;green
10135;46210820259017;desserts;Erat Eget Corp.;96.36;23;violet
10136;70708946532028;soups;Non Quam Consulting;814.34;56;orange
10137;82758019382284;salads;Tempor Industries;857.19;38;blue
10138;15434162213005;soups;Ornare Elit PC;862.81;43;indigo
10139;17855326157227;pasta;Eget Magna Foundation;664.42;93;blue
10140;26932225896042;soups;Ligula Tortor Dictum Industries;259.33;96;blue
10141;92677635249502;stews;Dignissim Limited;726.24;89;indigo
10142;92806153407069;pasta;Orci Lobortis Ltd;616.97;39;blue
10143;77709279750225;noodles;Egestas A Dui Incorporated;638.74;49;red
10144;51561845699081;pasta;At Libero Company;63.14;17;green
10145;71254604408085;desserts;Mauris Rhoncus Id Corp.;717.11;37;indigo
10146;31160223736820;stews;Natoque Penatibus Institute;351.79;59;violet
10147;53986788500872;salads;Sem Ut Foundation;898.86;82;green
10148;52452081884828;seafood;Lacus Etiam Limited;921.25;14;red
10149;14130637540121;stews;Sit Amet Nulla Limited;15.38;66;blue
10150;20662368121670;salads;Pellentesque Eget Ltd;859.72;68;green
10151;66638470374559;cereals;Semper Cursus Incorporated;754.36;82;red
10152;37303678070971;pies;Urna Nec Consulting;946.01;79;green
10153;32543363354565;cereals;Mauris Magna Duis Inc.;631.35;65;red
10154;80346082599543;pies;Donec Company;836.66;45;orange
10155;10061762988379;noodles;Velit Pellentesque Associates;138.25;64;indigo
10156;94107511884371;desserts;A Arcu Sed Inc.;972.59;52;blue
10157;65589521665472;cereals;Risus Nulla Eget Inc.;333.11;81;yellow
10158;27201387266777;desserts;Sit Amet LLC;236.09;65;red
10159;30055581472218;cereals;Tellus Sem Mollis Foundation;359.12;11;violet
10160;46016700286573;stews;Habitant Morbi Industries;326.63;55;red
10161;43104818283368;soups;Lectus Corp.;417.16;56;red
10162;97878836325552;stews;Velit Cras Foundation;384.76;7;green
10163;90439609854065;soups;Laoreet Ltd;175.21;34;orange
10164;39669940599662;pasta;Phasellus Elit Pede Limited;327.46;60;orange
10165;63968055244741;noodles;Dolor Nonummy Ac Corp.;11.01;14;blue
10166;48216595023802;noodles;Integer Industries;579.69;86;violet
10167;79246788190437;sandwiches;Ultricies Ligula Corporation;73.27;90;orange
10168;70709306615250;pies;Tortor Dictum Institute;449.60;19;indigo
10169;14773082792159;stews;Eleifend Cras Sed Incorporated;729.21;35;red
10170;45567767890498;seafood;Dolor Dolor Corp.;376.85;78;blue
10171;31042086288009;soups;Vivamus Industries;260.57;8;blue
10172;75994965039918;cereals;Eget Tincidunt Incorporated;406.64;43;green
10173;78505164108658;desserts;Lorem Vehicula Et LLP;201.78;70;red
10174;45573280682212;cereals;Vivamus Institute;66.77;57;yellow
10175;68632416622313;soups;Mauris Rhoncus Id Associates;67.01;59;green
10176;87953962525330;pies;Aliquam Tincidunt Nunc LLC;464.43;70;yellow
10177;45279160093481;salads;Cras Limited;831.69;38;blue
10178;60565761168231;desserts;Sed Institute;308.03;17;yellow
10179;87303178782890;pasta;Ante Incorporated;249.54;50;red
10180;65871580755160;noodles;Erat Corp.;774.52;79;yellow
10181;24743013810004;desserts;Vestibulum Ante Ipsum PC;715.48;58;indigo
10182;90527911314761;soups;Nunc Sollicitudin Institute;322.79;30;green
10183;54034574583707;pies;Ullamcorper Viverra Maecenas Industries;890.52;87;red
10184;75340640917186;seafood;Facilisis Facilisis Foundation;399.94;92;yellow
10185;58139888993827;pies;At Sem Corp.;856.16;44;blue
10186;50445754389415;desserts;Leo In Lobortis Corporation;585.66;36;blue
10187;13365851870943;salads;Quis Limited;235.45;90;green
10188;95023977240375;sandwiches;Blandit Congue PC;325.59;43;indigo
10189;23037206571806;desserts;Enim Curabitur Massa Inc.;346.36;71;violet
10190;77942621640595;noodles;Ante Inc.;723.47;90;green
10191;93603036606660;soups;A Dui Foundation;66.51;53;red
10192;46199297252717;salads;Vulputate Nisi Sem Institute;86.00;30;violet
10193;15098880869544;desserts;Magna Nec Corporation;795.69;41;indigo
10194;85747242214131;sandwiches;Luctus Et PC;424.62;23;orange
10195;83678621215273;desserts;Neque Et Corp.;196.20;35;yellow
10196;81827961925520;salads;Tincidunt Dui Corp.;973.60;33;red
10197;81880919858714;desserts;Aliquam Limited;897.86;78;blue
10198;91117573956715;stews;Aliquam LLC;399.55;56;green
10199;46776423560291;pasta;Felis Eget Industries;316.03;40;orange
10200;16026345480082;pies;Elit Pellentesque Incorporated;116.24;66;violet
10201;36970705507757;soups;Malesuada Vel Inc.;975.22;56;green
10202;58167520293943;soups;Mattis Ornare PC;906.95;13;red
10203;64526531022702;pies;Ante Ipsum Foundation;667.95;83;indigo
10204;75234702398083;seafood;Augue Scelerisque Mollis Corp.;503.70;96;red
10205;27977854520257;stews;Bibendum Sed Institute;738.62;73;violet
10206;47395271016531;pies;Eget Incorporated;637.99;2;indigo
10207;18190323701832;sandwiches;Eu Ltd;373.49;44;violet
10208;92904436522027;pies;Conubia Nostra Per LLP;973.14;34;indigo
10209;67493612859977;desserts;At Nisi Ltd;373.28;57;red
10210;89426451113952;cereals;Aenean Eget Metus Company;698.42;96;green
10211;57759430565705;stews;Lorem Donec Foundation;606.61;33;yellow
10212;20280958520985;salads;Ut Lacus Associates;120.56;77;indigo
10213;75085050400746;soups;Magna Corp.;556.24;87;violet
10214;93213278508487;sandwiches;In Tempus Inc.;795.10;20;violet
10215;83509790370018;salads;Nec Eleifend Company;30.92;2;green
10216;72317879778041;desserts;Quis Incorporated;244.41;51;indigo
10217;78449726645856;desserts;Et LLC;423.21;84;violet
10218;34800684768427;soups;Duis Gravida Corporation;810.48;76;green
10219;70202108221008;desserts;Est Mauris Rhoncus Foundation;693.05;44;orange
10220;31974726705600;stews;Sed Id Risus Inc.;959.39;80;green
10221;44701374898102;cereals;Sed Consequat Limited;239.52;72;green
10222;57343546508946;stews;Netus Consulting;316.58;12;indigo
10223;94245829631784;desserts;Feugiat Non Lobortis Associates;550.28;31;blue
10224;11268481385874;pies;Id Ante Industries;974.57;42;red
10225;47444506987408;pasta;Cras Interdum Consulting;672.55;4;violet
10226;58601411796168;pies;Mauris Nulla Corp.;392.78;47;violet
10227;62776286311741;pies;Non Cursus Non LLC;201.31;58;yellow
10228;33448742991683;pies;Odio Institute;760.05;5;yellow
10229;44409514004168;salads;Donec Egestas Limited;860.82;70;yellow
10230;54596002189604;noodles;Elementum Inc.;983.32;12;red
10231;34431878488044;salads;Lobortis Ltd;827.13;93;yellow
10232;42174920339673;seafood;Et Arcu LLC;731.42;24;green
10233;69470451185426;sandwiches;Egestas Inc.;189.90;28;orange
10234;40602457033623;seafood;Ultrices Sit Amet Institute;83.26;79;blue
10235;29216479061530;stews;Suspendisse Aliquet Sem LLP;914.96;71;green
10236;30211074997680;cereals;Dapibus Rutrum Justo LLP;667.94;35;orange
10237;19468202695073;seafood;In Ltd;793.02;43;violet
10238;50604664388296;salads;Leo Morbi LLC;54.77;86;blue
10239;95329999134474;pies;Bibendum Associates;589.89;5;indigo
10240;84431859747661;seafood;Dictum Eu Corporation;564.01;58;violet
10241;93144366774857;soups;Magna Lorem Corporation;68.38;55;yellow
10242;19351108441522;salads;Posuere Cubilia Corp.;387.16;93;yellow
10243;76265317881834;seafood;Ut Sagittis Corporation;730.52;64;orange
10244;27698600916061;sandwiches;Ac Foundation;974.39;65;violet
10245;26994065037039;soups;Adipiscing Institute;701.72;65;violet
10246;78502001983517;soups;Primis Limited;331.62;99;violet
10247;39460154688565;cereals;Iaculis Lacus Pede Corporation;696.61;2;indigo
10248;38274012812235;salads;Sodales Corp.;874.90;16;violet
10249;15278731803472;cereals;Nunc Laoreet Consulting;244.83;89;yellow
10250;65348428620208;pasta;Cras Eu Tellus LLP;750.70;94;violet
10251;96257520266789;sandwiches;Donec Associates;745.63;49;yellow
10252;80495719042305;stews;In Magna Foundation;962.52;24;violet
10253;85627920886881;pies;Feugiat Sed Nec Ltd;538.98;80;blue
10254;71577786707637;desserts;Tempor Erat Associates;752.93;77;violet
10255;54900641181217;stews;Gravida Nunc Sed LLC;895.17;9;orange
10256;70772504437789;desserts;Tempus Scelerisque Corporation;628.88;56;indigo
10257;40145995859048;soups;Molestie In Foundation;906.85;66;red
10258;83198097571559;stews;Blandit Nam Industries;804.08;8;orange
10259;62743819969470;salads;Et Magnis Limited;460.84;51;green
10260;96483182782850;salads;Et Euismod Et Associates;716.94;66;green
10261;61838225432119;desserts;Libero Lacus PC;990.70;2;orange
10262;26960419034164;salads;In Aliquet Foundation;871.32;98;violet
10263;73058674896946;seafood;Morbi Neque Institute;526.44;78;yellow
10264;75812587489794;cereals;In Ornare Sagittis Corporation;51.56;12;blue
10265;21011655919978;seafood;Integer Sem Elit LLC;852.54;53;orange
10266;50907194991748;pies;Arcu Imperdiet Incorporated;486.00;18;blue
10267;67641540524027;stews;Eu Odio LLP;776.76;26;red
10268;18404422510556;sandwiches;Interdum Incorporated;783.97;59;blue
10269;82929824344573;salads;Mi Pede Foundation;98.63;21;indigo
10270;31125483477178;desserts;Mauris Incorporated;80.92;84;blue
10271;46119694224921;desserts;Est Congue Institute;463.75;84;blue
10272;66100892587869;soups;Rutrum Non Hendrerit Corp.;423.89;8;violet
10273;35777828569086;salads;Leo PC;348.80;14;blue
10274;53213220459070;pies;Maecenas Corporation;291.98;69;violet
10275;97970685655188;seafood;Semper PC;178.16;17;green
10276;46712507732084;pasta;Euismod Est Inc.;319.39;6;yellow
10277;35798056826015;noodles;Eu Nibh Vulputate Industries;61.30;67;indigo
10278;85778071593567;soups;Penatibus Et Magnis PC;381.43;27;blue
10279;29872032497575;sandwiches;Praesent Eu Institute;186.75;37;orange
10280;51101603095971;pasta;Morbi Institute;171.10;35;yellow
10281;42496833762736;cereals;Non Foundation;873.72;13;orange
10282;58134030264957;noodles;Orci Limited;129.65;8;violet
10283;10443461370767;pasta;Aliquet Vel LLP;899.48;2;orange
10284;68979240425277;sandwiches;Posuere Institute;481.02;36;red
10285;57327862208762;noodles;Vel Pede Blandit Ltd;202.80;33;indigo
10286;86346644725263;pies;Ipsum Primis Incorporated;731.69;72;red
10287;58289642608905;noodles;Sed Nunc Limited;51.27;51;yellow
10288;13538137729940;pies;Phasellus Nulla Ltd;859.32;87;red
10289;27891104968130;soups;Et Ultrices Corp.;704.07;38;violet
10290;87773842869567;seafood;Vel Arcu Eu Ltd;484.62;2;yellow
10291;82478717152039;noodles;Suspendisse Corporation;224.35;37;red
10292;55247933507231;stews;Suspendisse Institute;495.12;44;violet
10293;85166560499419;stews;Mauris Company;396.88;32;red
10294;49708516170701;soups;Blandit At Incorporated;196.08;28;red
10295;25399872148187;pies;Ipsum Suspendisse Non Industries;817.93;10;yellow
10296;46391979672747;salads;Morbi Associates;715.31;83;violet
10297;25069236012032;soups;Nunc Commodo Corporation;666.26;91;blue
10298;38551981575480;noodles;Vivamus Rhoncus Associates;363.67;24;yellow
10299;93045187918643;cereals;Molestie Orci Tincidunt Corporation;964.12;29;violet
10300;22839890245168;seafood;Tortor Company;639.54;46;violet
10301;88178470046208;pasta;Ullamcorper LLP;654.56;38;red
10302;92986874478777;soups;Donec Consectetuer Mauris Associates;256.41;42;green
10303;44632359768701;salads;Fringilla Mi Lacinia Company;570.13;39;red
10304;51546939795713;pies;Nulla Foundation;684.44;19;violet
10305;46006663047907;seafood;Arcu Sed Et Ltd;408.06;53;orange
10306;85207297635066;seafood;Non Enim Commodo Associates;48.65;72;orange
10307;74692605109251;seafood;Mollis PC;211.56;18;red
10308;43380464508347;salads;Vivamus Nisi Associates;39.45;56;indigo
10309;47306809146648;sandwiches;A Consulting;275.04;78;blue
10310;21605119233035;sandwiches;At Libero Morbi LLC;914.95;77;indigo
10311;42960086535045;seafood;Scelerisque PC;656.72;50;blue
10312;57101686142079;sandwiches;Penatibus Ltd;440.21;22;blue
10313;83646286117207;cereals;Cubilia Curae LLP;174.77;52;blue
10314;64730365516769;pasta;Montes Nascetur Inc.;211.41;35;indigo
10315;54674537947268;pies;Nisl LLC;505.50;79;violet
10316;10231214003904;sandwiches;Libero Proin LLP;989.38;87;red
10317;20920764124329;salads;Ut Cursus LLC;910.66;36;violet
10318;12226096781025;soups;Ut Corporation;760.63;84;indigo
10319;38709094570763;cereals;Vehicula Industries;185.45;5;green
10320;11764238173706;sandwiches;Aliquam Rutrum Lorem LLP;138.27;99;green
10321;60910906507157;salads;Feugiat Non LLP;32.63;43;orange
10322;92380317237441;pasta;Ante Lectus PC;121.70;14;red
10323;44454537601583;seafood;Mi Institute;623.11;39;red
10324;20652029605040;soups;Donec Elementum Inc.;516.41;52;indigo
10325;49443481318919;pasta;Sagittis Augue PC;588.72;6;blue
10326;56530725936314;salads;Blandit Enim Consequat Foundation;346.55;93;indigo
10327;90523772261112;noodles;Molestie In Inc.;479.58;29;yellow
10328;50474833091989;salads;Enim Company;97.60;32;blue
10329;76238638847683;soups;Accumsan Convallis Institute;24.55;21;blue
10330;18086759560614;desserts;Tellus Aenean Industries;95.60;14;orange
10331;74355619605897;seafood;Non Corp.;434.19;83;indigo
10332;17788764460832;cereals;Suspendisse Commodo LLP;643.84;8;violet
10333;90528678788795;seafood;Aliquet Diam Consulting;288.51;52;yellow
10334;67517405489752;seafood;Aliquet Associates;293.53;14;indigo
10335;87164968364306;pasta;Libero PC;787.29;85;yellow
10336;51689129116668;soups;Dui Inc.;895.63;5;green
10337;12168678388703;soups;Pede Ac LLP;581.59;53;violet
10338;32928464188403;stews;Placerat Cras Dictum Industries;234.30;58;blue
10339;25519282530490;soups;Mattis Ornare PC;837.78;58;blue
10340;32279055741039;stews;Molestie Tellus Institute;750.11;70;violet
10341;47644812964969;stews;Lacinia At Iaculis Foundation;228.24;83;indigo
10342;52824876184801;pies;Neque Venenatis Lacus Corp.;795.81;27;red
10343;86457321599528;stews;Vivamus Non Institute;632.42;4;green
10344;19613356723590;noodles;Elit Pretium Limited;68.57;9;violet
10345;90419137770540;cereals;Dui Ltd;815.32;60;orange
10346;71270685569353;salads;Dolor Quam Industries;273.75;65;orange
10347;35982046457036;pasta;Nunc Sed Institute;532.95;96;green
10348;14286703641266;pasta;Placerat Eget Venenatis PC;870.56;34;green
10349;83550436385252;noodles;Elit Associates;480.74;95;blue
10350;75026805979143;sandwiches;Lacus Inc.;328.59;44;green
10351;30041733356435;salads;Euismod Inc.;953.67;40;indigo
10352;32459628922590;seafood;Feugiat Industries;780.05;78;violet
10353;56607484830095;salads;Vestibulum Ante Ipsum Institute;951.46;74;violet
10354;46615890137551;cereals;Nec Ante Blandit Associates;906.42;11;indigo
10355;82565638703594;stews;Aenean Limited;801.91;29;green
10356;98896136649970;noodles;Pellentesque Habitant PC;772.74;73;indigo
10357;14582482261228;cereals;Arcu PC;549.87;31;red
10358;63735202162184;cereals;Risus At Industries;938.87;45;orange
10359;85201225511489;cereals;Urna Convallis Industries;459.74;33;blue
10360;24159002459019;salads;Lorem Fringilla Incorporated;118.30;51;yellow
10361;76383869448726;desserts;Dui In Sodales LLC;784.29;62;red
10362;20691427140881;pasta;Lorem Semper Industries;518.27;85;blue
10363;18035220484408;stews;Nulla In Limited;838.03;96;indigo
10364;47822714691451;sandwiches;Non Ante Ltd;874.46;38;green
10365;50187843173693;noodles;Nec Diam Limited;934.50;80;green
10366;23457539642100;seafood;Dui Fusce Inc.;956.39;15;orange
10367;72903816990055;cereals;Varius Orci In Inc.;935.05;54;yellow
10368;20037525029733;noodles;Diam Eu Corp.;493.17;23;orange
10369;55117906153422;cereals;Enim Etiam Imperdiet Institute;216.10;4;yellow
10370;46770145213120;desserts;Nulla Vulputate Dui Industries;631.60;16;blue
10371;78568630182841;salads;Dictum Incorporated;859.00;93;green
10372;60562146584668;pies;Mus Aenean Eget Limited;40.89;14;yellow
10373;27332838289812;desserts;Accumsan Associates;766.00;24;orange
10374;27929829586069;soups;Ipsum Ac Company;104.54;44;blue
10375;73026922262450;seafood;Dignissim Lacus LLC;626.19;8;blue
10376;66123348687320;cereals;Auctor LLP;712.24;67;violet
10377;33684468498226;pies;Enim Curabitur Institute;179.03;94;red
10378;47410891863630;soups;Arcu Institute;59.51;42;yellow
10379;19552742168947;soups;Enim Nisl Corporation;796.31;71;blue
10380;15974725091920;pasta;Ipsum Incorporated;264.94;56;orange
10381;52808624230559;stews;Fermentum Risus At Inc.;764.32;40;orange
10382;25073727225058;pies;Ut Nulla Cras Limited;932.10;39;yellow
10383;56305192886865;cereals;Pede Malesuada Vel LLP;393.41;42;orange
10384;72381551007922;seafood;Nunc Sed LLP;870.64;27;green
10385;80777629771369;salads;A Tortor Limited;564.43;57;red
10386;81787925155112;pies;Dictum Magna Foundation;265.02;36;orange
10387;57862422584959;seafood;Lectus Rutrum PC;174.53;39;yellow
10388;62331973595969;noodles;Sem Pellentesque Inc.;21.36;97;blue
10389;42526013603826;pies;Massa Suspendisse LLC;504.45;12;green
10390;55259173876762;stews;Bibendum Sed Est PC;766.52;66;red
10391;53839519014853;pies;Mauris Non PC;697.24;94;yellow
10392;98015148761222;salads;Cras Eu PC;963.49;97;violet
10393;71194766938704;pies;Arcu Vestibulum PC;752.29;5;indigo
10394;68163069598331;desserts;Elit Pellentesque Associates;728.59;39;indigo
10395;90045959014047;cereals;Lacus Aliquam Foundation;412.73;5;red
10396;31676635105981;desserts;Sodales Institute;430.12;39;indigo
10397;79474509270402;sandwiches;Aliquam Erat Volutpat Inc.;739.17;93;green
10398;23987119988657;pasta;Vulputate Ullamcorper Incorporated;972.94;11;yellow
10399;42925568218967;noodles;Natoque Penatibus Et Institute;777.89;36;indigo
10400;73539607837695;cereals;Nisi Inc.;824.06;98;blue
10401;54986580458669;stews;Hendrerit LLC;670.91;27;red
10402;18780330770642;sandwiches;Mollis Lectus Corp.;581.06;29;indigo
10403;18826916899642;desserts;Per Conubia Nostra Institute;851.92;34;yellow
10404;15641118587092;soups;Pellentesque Ultricies Dignissim PC;715.59;17;indigo
10405;95167772824782;sandwiches;Convallis Convallis Limited;836.05;27;orange
10406;88521855660857;cereals;Vel Arcu Corporation;398.78;7;blue
10407;92745667770962;pies;Sed Nulla Ante Incorporated;445.98;12;yellow
10408;57684338073675;stews;Enim Gravida Ltd;930.95;95;orange
10409;58687157364399;desserts;Arcu Vestibulum Industries;319.99;80;red
10410;31488640642787;desserts;Integer Tincidunt LLP;773.23;82;indigo
10411;47234431175755;seafood;Nulla Donec PC;704.70;84;indigo
10412;55956542264157;soups;Sed Tortor Consulting;602.94;36;orange
10413;49072218422221;desserts;Ut Nisi Consulting;424.32;65;yellow
10414;52318721121883;cereals;Ut Consulting;948.48;68;orange
